descriptor,auc,cliffs_delta,mw_p,n_treated,n_untreated
VH_pos_value,0.7624,0.5247,0.0000,309,96
VH_aos_value,0.7388,0.4775,0.0000,309,96
VH_eos_value,0.7326,0.4653,0.0000,297,93
RVI_eos_time,0.7252,-0.4503,0.0000,309,96
VH_sios,0.7180,0.4359,0.0000,309,96
VH_sos_value,0.7148,0.4296,0.0000,307,80
VH_lios,0.7137,0.4273,0.0000,309,96
SAVI_aos_value,0.7009,0.4018,0.0000,309,96
VH_eos_time,0.6999,-0.3997,0.0000,309,96
VH_roi,0.6991,0.3983,0.0000,307,80
RENDVI_aos_value,0.6988,0.3977,0.0000,309,96
GNDVI_eos_time,0.6962,-0.3925,0.0000,309,96
SAVI_eos_time,0.6921,-0.3842,0.0000,309,96
RENDVI_eos_time,0.6883,-0.3767,0.0000,309,96
SAVI_sios,0.6872,0.3744,0.0000,309,96
RENDVI_sios,0.6867,0.3734,0.0000,309,96
VH_rod,0.6778,0.3556,0.0000,296,93
RENDVI_lios,0.6776,0.3552,0.0000,309,96
SAVI_lios,0.6752,0.3505,0.0000,309,96
GNDVI_aos_value,0.6690,0.3379,0.0000,309,96
SAVI_pos_time,0.6672,-0.3344,0.0000,309,96
RENDVI_pos_time,0.6647,-0.3294,0.0000,309,96
VH_pos_time,0.6644,-0.3287,0.0000,309,96
GNDVI_pos_time,0.6613,-0.3226,0.0000,309,96
SAVI_pos_value,0.6586,0.3173,0.0000,309,96
GNDVI_lios,0.6570,0.3140,0.0000,309,96
GNDVI_sios,0.6534,0.3068,0.0000,309,96
RENDVI_pos_value,0.6528,0.3056,0.0000,309,96
GNDVI_pos_value,0.6496,0.2993,0.0000,309,96
RVI_pos_time,0.6495,-0.2989,0.0000,309,96
SAVI_sos_value,0.6482,0.2964,0.0001,304,77
SAVI_roi,0.6331,0.2662,0.0003,304,77
RENDVI_sos_value,0.6244,0.2487,0.0007,304,78
RVI_los,0.6182,-0.2364,0.0005,309,96
RENDVI_roi,0.6181,0.2362,0.0013,304,78
SAVI_eos_value,0.6083,0.2166,0.0016,297,94
VH_bse_value,0.6069,-0.2138,0.0016,309,96
GNDVI_sos_value,0.6064,0.2128,0.0037,303,78
RENDVI_bse_value,0.6010,-0.2019,0.0028,309,96
RENDVI_eos_value,0.5937,0.1873,0.0062,296,94
SAVI_rod,0.5933,0.1866,0.0064,296,94
SAVI_bse_value,0.5897,-0.1793,0.0079,309,96
GNDVI_eos_value,0.5810,0.1621,0.0179,296,94
GNDVI_roi,0.5788,0.1577,0.0318,303,78
RVI_aos_value,0.5774,0.1547,0.0220,309,96
RVI_rod,0.5619,0.1238,0.0725,279,94
RENDVI_rod,0.5618,0.1237,0.0709,295,94
GNDVI_rod,0.5537,0.1073,0.1171,295,94
RVI_bse_value,0.5535,-0.1071,0.1131,309,96
RVI_roi,0.5471,0.0943,0.1950,301,80
GNDVI_bse_value,0.5415,-0.0831,0.2190,309,96
VH_sos_time,0.5414,-0.0828,0.2204,309,96
GNDVI_los,0.5345,-0.0689,0.3075,309,96
SAVI_los,0.5293,-0.0585,0.3863,309,96
RVI_pos_value,0.5259,0.0517,0.4442,309,96
RVI_eos_value,0.5228,-0.0456,0.5089,280,94
RVI_sos_time,0.5225,-0.0449,0.5064,309,96
RVI_sios,0.5183,0.0366,0.5881,309,96
RVI_lios,0.5176,-0.0352,0.6026,309,96
RENDVI_los,0.5161,-0.0322,0.6338,309,96
RENDVI_sos_time,0.5137,-0.0274,0.6856,309,96
RVI_sos_value,0.5112,0.0223,0.7591,301,80
GNDVI_sos_time,0.5101,-0.0201,0.7661,309,96
VH_los,0.5093,-0.0187,0.7825,309,96
SAVI_sos_time,0.5069,-0.0138,0.8382,309,96
