descriptor,auc,auc_smoothed,auc_delta_smoothing,cliffs_delta,mw_p,n_treated,n_untreated
RVI_post_slope_14d,0.8594,0.8232,0.0362,-0.7187,0.0000,95,7595
SAVI_post_slope_14d,0.8498,0.8629,-0.0131,-0.6995,0.0000,95,7595
VH_post_slope_14d,0.8475,0.8165,0.0310,-0.6950,0.0000,95,7595
GNDVI_post_slope_14d,0.8432,0.8344,0.0088,-0.6864,0.0000,95,7595
RVI_slope_contrast,0.8360,0.7356,0.1004,-0.6721,0.0000,95,7521
RENDVI_post_slope_14d,0.8360,0.8536,-0.0176,-0.6720,0.0000,95,7595
RENDVI_time_to_half_drop,0.8350,0.8658,-0.0307,-0.6701,0.0000,95,6749
RVI_drop_magnitude,0.8303,0.8009,0.0294,0.6606,0.0000,95,7611
GNDVI_time_to_half_drop,0.8158,0.8530,-0.0372,-0.6316,0.0000,95,6741
SAVI_drop_magnitude,0.8059,0.7894,0.0165,0.6118,0.0000,95,7611
VH_drop_magnitude,0.7992,0.7705,0.0287,0.5983,0.0000,95,7611
SAVI_time_to_half_drop,0.7933,0.8573,-0.0640,-0.5867,0.0000,95,6441
GNDVI_drop_magnitude,0.7913,0.7607,0.0306,0.5827,0.0000,95,7611
RENDVI_drop_magnitude,0.7827,0.7610,0.0216,0.5653,0.0000,95,7611
VH_slope_contrast,0.7709,0.5567,0.2142,-0.5419,0.0000,95,7521
SAVI_slope_contrast,0.6661,0.5993,0.0668,-0.3322,0.0000,95,7521
GNDVI_slope_contrast,0.6630,0.6368,0.0262,-0.3260,0.0000,95,7521
RENDVI_slope_contrast,0.6049,0.6860,-0.0811,-0.2098,0.0004,95,7521
VH_time_to_half_drop,0.6037,0.8162,-0.2125,-0.2075,0.0006,92,6567
RVI_time_to_half_drop,0.5619,0.6791,-0.1172,0.1238,0.0411,92,5153
