PMT_SITE,event,p_desiccation
150001535SP,1,0.0507
150000727090POS,0,0.0002
150000733040POS,0,0.0002
1500015DRYER1FP,0,0.0507
1500015HILL1FP,0,0.0507
1500015OLDLINSP,0,0.0002
1500015PECK3SP,0,0.0002
1500015SC10B3SP,0,0.0002
1500015SC10B4SP,0,0.0002
1500015SWC1B1SP,0,0.0002
1500027K2F,0,0.0002
1500027S111,0,0.0002
1500027S115,0,0.0195
1500027SUNSET,0,0.0002
1500032402,0,0.0045
1500032415,0,0.0072
1500032805,0,0.0037
1500032915,0,0.0002
1500032915A,0,0.0002
1500032915AA,0,0.0002
15005301PO,0,0.0000
15005302PO,0,0.0002
1500553132A,0,0.0002
1500553160PB1,0,0.0002
1500553162,0,0.0002
1500553163,0,0.0002
1500553163A,0,0.0002
1500553163P1,0,0.0002
1500553164PA,0,0.0000
1500553171,0,0.0000
150062915A,0,0.0002
150062915B,0,0.0002
15006295B,0,0.0002
15006296C,0,0.0002
15006296D,0,0.0002
15006297E1,0,0.0002
1500635BV113P,0,0.0190
1500635BV133P,0,0.0002
1500635FDLT35P,0,0.0507
1500635FDLT3SP,0,0.0507
1500635FDLT75EP,0,0.0113
1500635HAM35P,0,0.0002
1500635HAMWWP,0,0.0002
1500635MALAGAP,0,0.0081
1500635NLINP,0,0.0002
1500635PEACH75P,0,0.0002
1500635RIDIANWP,0,0.0002
1500635SAND2P,0,0.0002
1500635SAND7P,0,0.0002
1500635SAND8P,0,0.0002
1500635SANDW1P,0,0.0002
1500635SANDW2P,0,0.0002
1500635SANDW3P,0,0.0002
1500635SANDW4P,0,0.0002
1500635SHOPNP,0,0.0002
1500635WERN1P,0,0.0002
1500635WERN4P,0,0.0002
15008241KPSP20,0,0.0002
15008242PS20,0,0.0002
15008243KPSP20,0,0.0002
15022770621SP,0,0.0507
15022770820SP,0,0.0000
15022771020SP,0,0.0000
15022771021SP,0,0.0000
15022771821FP,0,0.0507
15022772820SP,0,0.0002
1504213P3,0,0.0507
1504311208WPO,0,0.0000
