feature,importance_mean,importance_std,gain
VH_roi,0.00657,0.00970,636
VH_eos_value,0.00413,0.00795,230
RVI_eos_value,0.00375,0.00488,124
VH_eos_time,0.00345,0.00211,96
SAVI_lios,0.00288,0.00474,91
VH_rod,0.00285,0.00363,307
RVI_sios,0.00271,0.00614,135
VH_aos_value,0.00245,0.00352,184
SAVI_eos_value,0.00244,0.00108,147
VH_sos_value,0.00207,0.00635,221
RVI_eos_time,0.00180,0.00203,259
VH_bse_value,0.00170,0.00203,140
SAVI_aos_value,0.00169,0.00237,128
SAVI_pos_time,0.00168,0.00160,152
RENDVI_lios,0.00168,0.00436,54
VH_pos_time,0.00165,0.00208,45
RVI_roi,0.00160,0.00440,225
RVI_bse_value,0.00154,0.00101,139
RENDVI_aos_value,0.00152,0.00199,74
GNDVI_sios,0.00147,0.00274,139
SAVI_sos_value,0.00146,0.00212,149
GNDVI_sos_value,0.00134,0.00234,232
GNDVI_eos_value,0.00124,0.00091,209
GNDVI_bse_value,0.00123,0.00166,203
GNDVI_pos_time,0.00119,0.00156,35
RVI_lios,0.00115,0.00288,234
SAVI_sos_time,0.00105,0.00158,128
RVI_sos_time,0.00100,0.00233,102
RENDVI_roi,0.00098,0.00111,122
RVI_aos_value,0.00097,0.00140,137
GNDVI_lios,0.00097,0.00213,117
SAVI_pos_value,0.00096,0.00152,125
VH_pos_value,0.00070,0.00769,113
VH_los,0.00058,0.00116,105
GNDVI_pos_value,0.00058,0.00078,69
VH_sos_time,0.00058,0.00104,90
SAVI_eos_time,0.00051,0.00072,97
RVI_los,0.00049,0.00304,141
RENDVI_bse_value,0.00047,0.00228,90
RENDVI_sos_value,0.00043,0.00210,78
GNDVI_los,0.00042,0.00127,103
VH_sios,0.00040,0.00054,52
RENDVI_sios,0.00040,0.00046,27
GNDVI_eos_time,0.00040,0.00087,123
RENDVI_pos_time,0.00036,0.00087,42
RENDVI_sos_time,0.00034,0.00136,30
RVI_pos_time,0.00018,0.00072,61
GNDVI_roi,0.00013,0.00149,141
GNDVI_sos_time,0.00010,0.00040,72
RENDVI_eos_time,0.00009,0.00067,48
RENDVI_rod,0.00007,0.00056,76
RVI_sos_value,-0.00000,0.00114,106
GNDVI_rod,-0.00001,0.00124,96
SAVI_sios,-0.00004,0.00038,33
RENDVI_pos_value,-0.00010,0.00270,40
SAVI_bse_value,-0.00011,0.00252,157
RVI_pos_value,-0.00012,0.00088,65
RENDVI_eos_value,-0.00035,0.00088,96
GNDVI_aos_value,-0.00036,0.00122,50
SAVI_rod,-0.00040,0.00050,54
SAVI_roi,-0.00056,0.00174,118
RVI_rod,-0.00073,0.00257,257
VH_lios,-0.00074,0.00180,46
RENDVI_los,-0.00089,0.00173,117
SAVI_los,-0.00095,0.00187,42
