PMT_SITE,p_treated_max,p_treated_mean,n_windows,any_treated
150000721121POS,0.9514,0.9514,1,1
150000727011POS,0.9792,0.9792,1,1
150000727090POS,0.9778,0.9778,1,1
150000733040POS,0.9514,0.9514,1,1
150001535SP,0.9688,0.9688,1,1
1500015BERRY1SP,1.0000,0.9844,2,1
1500015BERRY2SP,1.0000,0.9594,2,1
1500015DRYER1FP,0.3199,0.2016,2,0
1500015DRYERFP,0.8403,0.8403,1,1
1500015HILL1FP,0.8458,0.4562,2,1
1500015HILLFP1,0.8076,0.8076,1,1
1500015OLDLINSP,1.0000,1.0000,1,1
1500015PECK1SP,1.0000,1.0000,1,1
1500015PECK2SP,0.9792,0.9792,1,1
1500015PECK3SP,0.9792,0.9792,1,1
1500015SC10B1SP,0.8988,0.8988,1,1
1500015SC10B3SP,0.9792,0.9792,1,1
1500015SC10B4SP,1.0000,1.0000,1,1
1500015SEC1B2SP,1.0000,1.0000,1,1
1500015SEC1B3SP,1.0000,1.0000,1,1
1500015SEC1B4SP,1.0000,1.0000,1,1
1500015SKONSP,0.8947,0.8947,1,1
1500015SWC1B1SP,0.9609,0.9609,1,1
1500027CLARE2,0.6979,0.6979,1,1
1500027HERSHEY,0.1667,0.1667,1,0
1500027HERSHEYS,0.2807,0.2807,1,0
1500027K2F,0.2692,0.2692,1,0
1500027KH1,0.9246,0.9246,1,1
1500027S111,0.8988,0.5605,2,1
1500027S115,0.8076,0.5003,2,1
1500027S14,0.3111,0.3111,1,0
1500027S14B,0.7903,0.4285,2,1
1500027STOLL,0.2924,0.2924,1,0
1500027SUNSET,0.1930,0.1930,1,0
15000321200,0.9524,0.4762,2,1
15000321200A,0.0667,0.0667,1,0
15000321401,0.1111,0.1111,1,0
15000321401A,0.2000,0.2000,1,0
1500032401,0.8924,0.8924,1,1
1500032402,0.9514,0.9514,1,1
1500032405A,0.0000,0.0000,1,0
1500032405B,0.0000,0.0000,1,0
1500032415,0.9188,0.9188,1,1
1500032805,0.9688,0.9444,2,1
1500032915,0.7903,0.7903,1,1
1500032915A,0.0000,0.0000,1,0
1500032915AA,0.0000,0.0000,1,0
1500032950,0.9479,0.7932,2,1
1500032950A,0.0000,0.0000,1,0
1500032950B,0.0000,0.0000,1,0
15005301PO,0.7743,0.7743,1,1
15005302PO,0.9792,0.9792,1,1
1500553132A,0.9688,0.5809,2,1
1500553132C,0.1042,0.1042,1,0
