PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
150000721121POS,0,2021,1,0.9514,1,0,0.3746,1.0028,0.6887
150000727011POS,0,2021,1,0.9792,1,0,0.3581,0.9695,0.6638
150000727090POS,0,2020,1,0.9778,1,0,0.3639,0.9700,0.6670
150000733040POS,0,2020,1,0.9514,1,0,0.3764,0.9818,0.6791
150001535SP,0,2021,1,0.9688,1,0,0.3764,1.0097,0.6931
1500015BERRY1SP,1,2020,1,0.9688,1,0,0.3908,1.0231,0.7069
1500015BERRY1SP,2,2021,1,1.0000,1,0,0.3999,1.1438,0.7719
1500015BERRY2SP,1,2020,1,1.0000,1,0,0.3940,1.0703,0.7321
1500015BERRY2SP,2,2021,1,0.9188,1,0,0.4049,1.1319,0.7684
1500015DRYER1FP,0,2020,0,0.0833,0,1,0.5376,1.6724,1.1050
1500015DRYER1FP,1,2021,0,0.3199,0,1,0.4900,1.1704,0.8302
1500015DRYERFP,0,2020,1,0.8403,0,0,0.4846,1.1301,0.8073
1500015HILL1FP,0,2020,0,0.0667,0,1,0.5408,1.6624,1.1016
1500015HILL1FP,1,2021,1,0.8458,0,0,0.5008,1.2296,0.8652
1500015HILLFP1,1,2020,1,0.8076,0,1,0.4962,1.2270,0.8616
1500015OLDLINSP,0,2020,1,1.0000,1,0,0.3703,0.9935,0.6819
1500015PECK1SP,0,2021,1,1.0000,1,0,0.4168,1.2448,0.8308
1500015PECK2SP,0,2021,1,0.9792,1,0,0.4016,1.2224,0.8120
1500015PECK3SP,0,2020,1,0.9792,1,0,0.3717,0.9775,0.6746
1500015SC10B1SP,0,2020,1,0.8988,1,0,0.3923,1.1301,0.7612
1500015SC10B3SP,0,2020,1,0.9792,1,0,0.3631,0.9739,0.6685
1500015SC10B4SP,0,2020,1,1.0000,1,0,0.3672,0.9751,0.6711
1500015SEC1B2SP,0,2021,1,1.0000,1,0,0.3878,1.0183,0.7030
1500015SEC1B3SP,0,2021,1,1.0000,1,0,0.3794,0.9958,0.6876
1500015SEC1B4SP,0,2021,1,1.0000,1,0,0.4008,1.3505,0.8756
1500015SKONSP,0,2020,1,0.8947,1,0,0.3685,0.9848,0.6767
1500015SWC1B1SP,0,2020,1,0.9609,1,0,0.3914,1.0770,0.7342
1500027CLARE2,0,2020,1,0.6979,0,0,0.4672,1.0798,0.7735
1500027HERSHEY,1,2021,0,0.1667,1,0,0.3767,1.0899,0.7333
1500027HERSHEYS,0,2021,0,0.2807,0,0,0.5006,1.1775,0.8391
1500027K2F,1,2020,0,0.2692,1,0,0.4095,1.2732,0.8414
1500027KH1,0,2021,1,0.9246,1,0,0.3815,1.0080,0.6947
1500027S111,1,2020,1,0.8988,1,0,0.3694,1.1154,0.7424
1500027S111,2,2021,0,0.2222,1,0,0.3957,1.1582,0.7769
1500027S115,1,2020,1,0.8076,1,0,0.3816,1.0711,0.7264
1500027S115,2,2021,0,0.1930,1,1,0.4106,1.3288,0.8697
1500027S14,1,2021,0,0.3111,1,0,0.3620,1.0111,0.6865
1500027S14B,1,2020,1,0.7903,0,0,0.4489,1.1403,0.7946
1500027S14B,2,2021,0,0.0667,1,1,0.4531,1.7255,1.0893
1500027STOLL,1,2021,0,0.2924,1,1,0.4021,1.2513,0.8267
1500027SUNSET,0,2020,0,0.1930,1,0,0.3771,1.0716,0.7244
15000321200,0,2020,0,0.0000,1,0,0.3869,1.2076,0.7972
15000321200,1,2021,1,0.9524,1,0,0.3930,1.0449,0.7189
15000321200A,0,2020,0,0.0667,1,0,0.3777,1.1290,0.7533
15000321401,0,2020,0,0.1111,1,0,0.3881,1.0546,0.7214
15000321401A,1,2021,0,0.2000,1,0,0.3773,1.0461,0.7117
1500032401,1,2021,1,0.8924,1,0,0.4301,1.2061,0.8181
1500032402,0,2020,1,0.9514,1,0,0.4062,1.1554,0.7808
1500032405A,0,2020,0,0.0000,1,1,0.5094,1.4332,0.9713
1500032405B,0,2020,0,0.0000,1,1,0.5094,1.4332,0.9713
1500032415,0,2020,1,0.9188,1,0,0.4304,1.2647,0.8476
1500032805,0,2020,1,0.9688,1,0,0.3706,1.0599,0.7153
1500032805,2,2021,1,0.9201,1,0,0.3667,0.9892,0.6780
1500032915,0,2020,1,0.7903,1,0,0.3652,0.9776,0.6714
1500032915A,0,2020,0,0.0000,1,0,0.3614,0.9848,0.6731
