PMT_SITE,window,year,treated,treatment_type,is_organic,n_obs,window_known,SAVI_pos_time,SAVI_pos_value,SAVI_bse_value,SAVI_aos_value,SAVI_sos_time,SAVI_sos_value,SAVI_eos_time,SAVI_eos_value,SAVI_los,SAVI_roi,SAVI_rod,SAVI_lios,SAVI_sios,GNDVI_pos_time,GNDVI_pos_value,GNDVI_bse_value,GNDVI_aos_value,GNDVI_sos_time,GNDVI_sos_value,GNDVI_eos_time,GNDVI_eos_value,GNDVI_los,GNDVI_roi,GNDVI_rod,GNDVI_lios,GNDVI_sios,RENDVI_pos_time,RENDVI_pos_value,RENDVI_bse_value,RENDVI_aos_value,RENDVI_sos_time,RENDVI_sos_value,RENDVI_eos_time,RENDVI_eos_value,RENDVI_los,RENDVI_roi,RENDVI_rod,RENDVI_lios,RENDVI_sios,VH_pos_time,VH_pos_value,VH_bse_value,VH_aos_value,VH_sos_time,VH_sos_value,VH_eos_time,VH_eos_value,VH_los,VH_roi,VH_rod,VH_lios,VH_sios,RVI_pos_time,RVI_pos_value,RVI_bse_value,RVI_aos_value,RVI_sos_time,RVI_sos_value,RVI_eos_time,RVI_eos_value,RVI_los,RVI_roi,RVI_rod,RVI_lios,RVI_sios,has_season
150000721121POS,0,2021,1,Mixed,False,190,True,133.0,0.7936493754386902,0.01644374243915081,0.7772056460380554,102.0,0.40105724334716797,165.0,0.4002251625061035,63.0,0.01266426220536232,0.012294506654143333,41.773521423339844,40.72112274169922,130.0,0.8273716568946838,0.2290511429309845,0.598320484161377,99.0,0.5270331501960754,165.0,0.5228989124298096,66.0,0.009688339196145535,0.008699221536517143,48.30376434326172,32.95733642578125,129.0,0.624586284160614,-0.04151924327015877,0.6661055088043213,100.0,0.2945142388343811,163.0,0.29766845703125,63.0,0.011381794698536396,0.00961523037403822,32.40306854248047,35.060298919677734,138.0,0.044989828020334244,0.0036807639990001917,0.041309062391519547,101.0,0.024661391973495483,168.0,0.024082796648144722,67.0,0.0005494171637110412,0.0006969010573811829,2.6030426025390625,2.352750778198242,146.0,0.693034827709198,0.06868639588356018,0.6243484020233154,109.0,0.38475385308265686,171.0,0.3710687756538391,62.0,0.00833191815763712,0.012878642417490482,36.28546142578125,31.95821762084961,True
150000727011POS,0,2021,1,Mixed,False,190,True,125.0,0.7225541472434998,0.04531383514404297,0.6772403120994568,98.0,0.3874872028827667,152.0,0.3812452554702759,54.0,0.01240988727658987,0.012641070410609245,32.87858581542969,30.38632583618164,122.0,0.7921807169914246,0.2568433880805969,0.5353373289108276,95.0,0.5278270244598389,151.0,0.5254298448562622,56.0,0.009790877811610699,0.009198306128382683,39.60963439941406,24.969562530517578,122.0,0.588538408279419,-0.015515655279159546,0.6040540933609009,96.0,0.29388293623924255,150.0,0.2857147455215454,54.0,0.011332903057336807,0.010815130546689034,26.258516311645508,27.11187744140625,122.0,0.04852445796132088,0.004997470881789923,0.043526988476514816,95.0,0.027177410200238228,150.0,0.026556650176644325,55.0,0.0007906313985586166,0.0007845645886845887,2.274383544921875,1.9945251941680908,131.0,0.6846675872802734,0.1892118602991104,0.4954557418823242,105.0,0.4399174153804779,152.0,0.44478368759155273,47.0,0.009413467720150948,0.011423042975366116,28.402952194213867,19.320781707763672,True
150000727090POS,0,2020,1,Fungicide,False,189,True,124.0,0.7815628051757812,0.034292072057724,0.7472707033157349,95.0,0.403011679649353,154.0,0.408464252948761,59.0,0.013053487055003643,0.012436618097126484,38.650352478027344,36.59282684326172,123.0,0.7886366844177246,0.24560528993606567,0.5430313944816589,92.0,0.5133113265037537,153.0,0.5175391435623169,61.0,0.0088814627379179,0.009036584757268429,42.78721618652344,27.559688568115234,122.0,0.5915058255195618,-0.022856764495372772,0.6143625974655151,93.0,0.2917800545692444,152.0,0.2913954555988312,59.0,0.01033537182956934,0.010003679431974888,28.96925926208496,30.340665817260742,130.0,0.053260061889886856,0.0018637359607964754,0.05139632523059845,93.0,0.027077853679656982,158.0,0.02803291380405426,65.0,0.0007076272740960121,0.0009009695495478809,2.879875659942627,2.756869077682495,136.0,0.7033884525299072,0.14149338006973267,0.5618950724601746,110.0,0.42822179198265076,160.0,0.4172400236129761,50.0,0.010583332739770412,0.011922851204872131,30.507091522216797,23.290929794311523,True
150000733040POS,0,2020,1,Herbicide,False,189,True,135.0,0.760409951210022,0.022317936643958092,0.7380920052528381,106.0,0.38222020864486694,166.0,0.39278507232666016,60.0,0.013041025958955288,0.011858867481350899,37.85834884643555,36.49695587158203,135.0,0.7837273478507996,0.21994975209236145,0.5637775659561157,107.0,0.506096363067627,168.0,0.497234582901001,61.0,0.00991539191454649,0.00868159905076027,42.06764602661133,28.430763244628906,135.0,0.5901622772216797,-0.03756941854953766,0.6277316808700562,106.0,0.2827329635620117,167.0,0.2681729197502136,61.0,0.010601011104881763,0.010062167420983315,29.336898803710938,31.666202545166016,143.0,0.056224603205919266,0.0019342160085216165,0.05429038777947426,105.0,0.029149066656827927,172.0,0.028373850509524345,67.0,0.0007125140982680023,0.0009603707585483789,3.1450586318969727,3.0135319232940674,149.0,0.6821164488792419,0.07432789355516434,0.6077885627746582,117.0,0.382514089345932,174.0,0.3851379454135895,57.0,0.009362573735415936,0.011879140511155128,33.33605194091797,29.025033950805664,True
150001535SP,0,2021,1,Herbicide,False,240,True,95.0,0.7648792266845703,0.07431884109973907,0.6905604004859924,66.0,0.4237445294857025,120.0,0.42875802516937256,54.0,0.01176326535642147,0.013444848358631134,34.86431884765625,30.776782989501953,94.0,0.8069433569908142,0.2339160144329071,0.5730273723602295,61.0,0.5239369869232178,121.0,0.5254326462745667,60.0,0.008575950749218464,0.010426322929561138,42.330650329589844,28.061771392822266,93.0,0.5936912298202515,0.0027410537004470825,0.5909501910209656,63.0,0.2942828834056854,118.0,0.2891959547996521,55.0,0.009980278089642525,0.012179810553789139,26.644128799438477,26.490629196166992,92.0,0.04329589381814003,0.0027314387261867523,0.04056445509195328,60.0,0.027226805686950684,122.0,0.02251075766980648,62.0,0.0005021590040996671,0.0006928378716111183,2.3176052570343018,2.145524501800537,109.0,0.7699785232543945,0.3706681728363037,0.3993103504180908,60.0,0.7319207191467285,132.0,0.5751484036445618,72.0,0.0007766899070702493,0.008470875211060047,53.87173843383789,26.81296157836914,True
1500015BERRY1SP,0,2019,0,No,False,61,False,305.0,0.13682064414024353,0.10823836922645569,0.028582274913787842,0.0,,313.0,0.12260681390762329,313.0,,0.00177672877907753,1.0989763736724854,0.1789502501487732,305.0,0.34924590587615967,0.3207657039165497,0.028480201959609985,0.0,,313.0,0.3354024291038513,313.0,,0.0017304345965385437,2.9063971042633057,0.17988848686218262,305.0,0.043399304151535034,0.024455593898892403,0.01894371025264263,0.0,,316.0,0.03400421515107155,316.0,,0.0008540989947505295,0.4424338936805725,0.1611945629119873,364.0,0.008292879909276962,0.006806811783462763,0.0014860681258141994,354.0,0.0075590237975120544,365.0,0.008285888470709324,11.0,7.338561408687383e-05,6.991438567638397e-06,0.09259703755378723,0.014318697154521942,305.0,0.47583720088005066,0.37203454971313477,0.1038026511669159,0.0,,310.0,0.423166960477829,310.0,,0.010534048080444336,2.458674192428589,0.41248416900634766,False
1500015BERRY1SP,1,2020,1,Herbicide,False,427,False,97.0,0.8218504786491394,0.07610088586807251,0.7457495927810669,66.0,0.4537813067436218,123.0,0.45194098353385925,57.0,0.011873198673129082,0.014227287843823433,39.705745697021484,35.291893005371094,95.0,0.827568769454956,0.2692066431045532,0.5583621263504028,62.0,0.5546678900718689,124.0,0.544409990310669,62.0,0.008269723504781723,0.009764095768332481,45.81068801879883,28.850669860839844,94.0,0.6431561708450317,0.003017596434801817,0.640138566493988,62.0,0.31742390990257263,121.0,0.3160763680934906,59.0,0.010179133154451847,0.012114066630601883,31.49678611755371,31.315731048583984,94.0,0.045781079679727554,0.004158152267336845,0.04162292927503586,59.0,0.02540169470012188,125.0,0.02470630779862404,66.0,0.0005822681705467403,0.000679831369780004,2.633455276489258,2.3548591136932373,111.0,0.6865761280059814,0.3676561117172241,0.3189200162887573,49.0,0.5305376648902893,134.0,0.5264379978179932,85.0,0.0025167493149638176,0.006962527520954609,55.58060836791992,23.962182998657227,True
1500015BERRY1SP,2,2021,1,Herbicide,False,424,False,99.0,0.819917619228363,0.0776318609714508,0.7422857284545898,63.0,0.45155423879623413,127.0,0.4462431073188782,64.0,0.010232316330075264,0.01334551814943552,44.22657775878906,39.18050765991211,96.0,0.8467918634414673,0.24556110799312592,0.6012307405471802,60.0,0.5785963535308838,128.0,0.5426086187362671,68.0,0.007449875120073557,0.009505726397037506,50.99408721923828,34.05036926269531,94.0,0.6505634188652039,0.004086503759026527,0.6464769244194031,60.0,0.34471067786216736,123.0,0.3284601867198944,63.0,0.008995668962597847,0.011107007972896099,34.12947082519531,33.86793518066406,99.0,0.046377912163734436,0.004821967799216509,0.041555944830179214,60.0,0.03299687057733536,127.0,0.025686874985694885,67.0,0.00034310363116674125,0.0007389656384475529,2.7715609073638916,2.44366717338562,113.0,0.7474244236946106,0.34200969338417053,0.40541473031044006,91.0,0.7008440494537354,137.0,0.5433365106582642,46.0,0.0021172896958887577,0.00850366335362196,32.7103271484375,16.63587188720703,True
1500015BERRY1SP,3,2022,0,No,False,59,False,59.0,0.4485475718975067,0.2666980028152466,0.18184956908226013,52.0,0.35434168577194214,0.0,,-52.0,0.01345798373222351,,0.0,0.0,59.0,0.6171706914901733,0.4283508062362671,0.18881988525390625,50.0,0.5193831324577332,0.0,,-50.0,0.010865284129977226,,0.0,0.0,59.0,0.37705790996551514,0.19268463551998138,0.18437327444553375,52.0,0.28042128682136536,0.0,,-52.0,0.013805232010781765,,0.0,0.0,59.0,0.03887694701552391,0.023022448644042015,0.015854498371481895,52.0,0.0306403748691082,0.0,,-52.0,0.0011766531970351934,,0.0,0.0,59.0,0.703305184841156,0.5794299244880676,0.12387526035308838,52.0,0.6445633769035339,0.0,,-52.0,0.008391686715185642,,0.0,0.0,False
1500015BERRY2SP,0,2019,0,No,False,61,False,305.0,0.1198372021317482,0.1156606525182724,0.0041765496134757996,0.0,,314.0,0.1177508607506752,314.0,,0.00023181570577435195,1.1281936168670654,0.02941751480102539,305.0,0.3307475745677948,0.3151249289512634,0.015622645616531372,0.0,,328.0,0.32266926765441895,328.0,,0.00035123073030263186,7.695751667022705,0.290316104888916,356.0,0.028793837875127792,0.0264095738530159,0.0023842640221118927,332.0,0.02759992703795433,364.0,0.027509870007634163,32.0,4.974628609488718e-05,0.00016049598343670368,0.9298898577690125,0.05837392807006836,305.0,0.007715781219303608,0.006255039945244789,0.0014607412740588188,0.0,,309.0,0.006994191091507673,309.0,,0.00018039753194898367,0.03291201591491699,0.004764337092638016,305.0,0.49090006947517395,0.34044989943504333,0.15045017004013062,0.0,,312.0,0.41700220108032227,312.0,,0.010556838475167751,3.38474440574646,0.8313701152801514,False
