index,coverage,autocorr_lag1,snr_db,dyn_range,auc_treated,fisher,mutual_info,auc_herbicide,auc_fungicide,auc_insecticide,auc_pgr,auc_mixed,auc_other,composite_z
SAVI,0.2511,0.9228,6.4429,0.5922,0.6136,0.0408,0.0795,0.6035,0.6278,0.6733,0.6163,0.6168,0.6273,4.5683
EVI,0.2511,0.9252,6.5076,0.7122,0.6024,0.0415,0.0832,0.5877,0.6209,0.6845,0.6315,0.6089,0.6105,4.3332
GNDVI,0.2511,0.8726,5.4937,0.5229,0.6319,0.0441,0.0599,0.6395,0.6326,0.6108,0.6596,0.6129,0.6495,3.5788
CI_GREEN,0.2511,0.8566,4.3259,5.6928,0.6321,0.0403,0.0684,0.6393,0.6322,0.6095,0.6657,0.6129,0.6500,3.2643
OSAVI,0.2511,0.9234,6.5254,0.5687,0.5969,0.0364,0.0600,0.5872,0.6093,0.6555,0.6778,0.5919,0.5992,3.2315
MSAVI,0.2511,0.9185,6.1547,0.6529,0.6259,0.0428,0.0180,0.6147,0.6408,0.6813,0.6003,0.6314,0.6437,2.5463
RENDVI,0.2511,0.9260,6.5423,0.5120,0.5670,0.0347,0.0473,0.5637,0.5712,0.5754,0.6877,0.5654,0.5943,1.6447
NDVI,0.2511,0.9203,6.4884,0.7223,0.5696,0.0311,0.0467,0.5601,0.5761,0.6266,0.7302,0.5568,0.5527,1.6351
NDREI,0.2511,0.9220,6.6242,0.5411,0.5743,0.0342,0.0324,0.5624,0.5877,0.6402,0.7264,0.5611,0.5610,1.3431
VH,0.1853,0.8137,1.3073,0.0361,0.6026,0.0324,0.0653,0.6086,0.5976,0.6017,0.5426,0.5955,0.5841,-1.9099
RVI,0.1853,0.8243,1.9811,0.5881,0.5995,0.0274,0.0321,0.5957,0.5701,0.6309,0.6140,0.5757,0.5566,-2.9013
VH/VV,0.1853,0.8230,1.8806,0.1901,0.5974,0.0262,0.0193,0.5944,0.5689,0.6289,0.6102,0.5742,0.5555,-3.5158
CI,0.2511,0.7498,1.6394,15.5885,0.5688,0.0282,0.0000,0.5592,0.5750,0.6251,0.7295,0.5555,0.5525,-4.0207
NDRE_(B6),0.2511,0.6941,1.6783,0.0817,0.5592,0.0172,0.0087,0.5476,0.5717,0.6241,0.7242,0.5424,0.5214,-4.6845
VV,0.1853,0.6549,-1.2634,0.3083,0.5464,0.0026,0.0065,0.5535,0.5433,0.5426,0.7432,0.5595,0.5436,-9.1130
