,NDVI,GNDVI,EVI,SAVI,CI,CI_GREEN,RENDVI,NDREI,NDRE_(B6),MSAVI,OSAVI,VH,VV,RVI,VH/VV
NDVI,1.000,0.973,0.984,0.992,0.850,0.962,0.987,0.993,0.708,0.985,0.998,0.745,0.468,0.588,0.606
GNDVI,0.973,1.000,0.945,0.963,0.806,0.954,0.950,0.968,0.757,0.953,0.969,0.757,0.497,0.600,0.616
EVI,0.984,0.945,1.000,0.997,0.888,0.963,0.984,0.981,0.656,0.998,0.992,0.704,0.426,0.562,0.579
SAVI,0.992,0.963,0.997,1.000,0.874,0.965,0.985,0.986,0.674,0.998,0.998,0.722,0.436,0.579,0.596
CI,0.850,0.806,0.888,0.874,1.000,0.917,0.872,0.852,0.520,0.893,0.863,0.493,0.302,0.410,0.421
CI_GREEN,0.962,0.954,0.963,0.965,0.917,1.000,0.970,0.968,0.676,0.970,0.966,0.672,0.432,0.525,0.539
RENDVI,0.987,0.950,0.984,0.985,0.872,0.970,1.000,0.991,0.642,0.983,0.988,0.715,0.443,0.559,0.576
NDREI,0.993,0.968,0.981,0.986,0.852,0.968,0.991,1.000,0.731,0.980,0.991,0.731,0.466,0.573,0.590
NDRE_(B6),0.708,0.757,0.656,0.674,0.520,0.676,0.642,0.731,1.000,0.654,0.692,0.586,0.444,0.495,0.505
MSAVI,0.985,0.953,0.998,0.998,0.893,0.970,0.983,0.980,0.654,1.000,0.994,0.700,0.420,0.563,0.580
OSAVI,0.998,0.969,0.992,0.998,0.863,0.966,0.988,0.991,0.692,0.994,1.000,0.734,0.451,0.586,0.603
VH,0.745,0.757,0.704,0.722,0.493,0.672,0.715,0.731,0.586,0.700,0.734,1.000,0.717,0.674,0.694
VV,0.468,0.497,0.426,0.436,0.302,0.432,0.443,0.466,0.444,0.420,0.451,0.717,1.000,0.192,0.213
RVI,0.588,0.600,0.562,0.579,0.410,0.525,0.559,0.573,0.495,0.563,0.586,0.674,0.192,1.000,0.998
VH/VV,0.606,0.616,0.579,0.596,0.421,0.539,0.576,0.590,0.505,0.580,0.603,0.694,0.213,0.998,1.000
