,PMT_SITE,PMT_SITE_other,Active_date,Inactive_date
0,1510000000,['150553220E'],27/07/2021,31/12/2021
1,150000721121POS,['150000721121CAF'],01/01/2021,09/07/2021
2,150000727011POS,['150000727011CAF'],01/01/2021,09/07/2021
3,150001535SP,['150001535FC'],01/01/2021,30/06/2021
4,1500015DRYER2FP,"['1500015DRTG2', '1500015DRYER2SC']",30/06/2021,03/11/2021
5,1500015OLDLINSP,['1500015OLDLINTM'],03/11/2021,31/12/2021
6,1500015PECK1SP,['1500015PECK1FC'],01/01/2021,30/06/2021
7,1500015PECK2SP,['1500015PECK2FC'],01/01/2021,30/06/2021
8,1500015PECK3SP,"['1500015PECK3TM', '1500015PECK3FC']",03/11/2021,31/12/2021
9,1500015SC10B1SP,"['1500015SC10B1FC', '1500015SC10B1TM']",03/11/2021,31/12/2021
10,1500015SC10B2SP,"['1500015SC10B2TM', '1500015SC10B2FC']",01/01/2021,25/02/2021
11,1500015SC10B3SP,['1500015SC10B3TM'],03/11/2021,31/12/2021
12,1500015SC10B4SP,"['1500015SC10B4FC', '1500015SC10B4TM']",03/11/2021,31/12/2021
13,1500015SCONESP,['1500015SCONESC'],03/11/2021,31/12/2021
14,1500015SEC1B1SP,['1500015SEC1B1TM'],03/11/2021,31/12/2021
15,1500015SEC1B2SP,['1500015SEC1B2FC'],01/01/2021,30/06/2021
16,1500015SEC1B3SP,['1500015SEC1B3FC'],01/01/2021,30/06/2021
17,1500015SEC1B4SP,['1500015SEC1B4FC'],01/01/2021,30/06/2021
18,1500027HERSHEYS,['1500027HERSHEYW'],04/08/2021,31/12/2021
19,1500027KH1,['1500027KH1B'],01/01/2021,04/08/2021
20,1500027STOLL,['1500178STU03P'],01/01/2021,06/07/2021
21,15000321200,['15000321200A'],01/01/2021,10/06/2021
22,15000321400A,['15000321400'],12/10/2021,31/12/2021
23,15000321401A,['15000321401'],24/02/2021,31/12/2021
24,1500032401,['1500032401A'],01/01/2021,10/06/2021
25,1500032401UA,['1500032401U'],12/10/2021,31/12/2021
26,1500032802,['1500032805'],12/10/2021,31/12/2021
27,1500032805,['1500032802'],01/01/2021,12/10/2021
28,1500032950,['1500032950A'],01/01/2021,10/06/2021
29,1500553132A,['1500553132C'],15/01/2021,31/12/2021
30,1500553132C,['1500553132A'],01/01/2021,15/01/2021
31,1500553162A,['1500553162'],01/01/2021,01/07/2021
32,1500553164P1,['1500553164B'],15/01/2021,31/12/2021
33,1500553173,['1500553173C'],01/01/2021,01/07/2021
34,1500555322P,"['1500555322C', '1500555322CT']",26/07/2021,31/12/2021
35,1500555331P,"['1500555331S', '1500555331SP']",01/01/2021,04/03/2021
36,1500555331SP,"['1500555331P', '1500555331S']",01/12/2021,31/12/2021
37,1500555332,['1500555332C'],01/01/2021,26/07/2021
38,150062910B,['150062910B1'],01/01/2021,18/06/2021
39,150062910C,['150062910C1'],01/01/2021,18/06/2021
40,15006293A,['15006293A1'],01/01/2021,12/07/2021
41,15006297A,['15006297A1'],01/01/2021,07/07/2021
42,15006297C,['15006297C1'],01/01/2021,18/06/2021
43,15006297E,['1.50E+08'],01/01/2021,07/07/2021
44,15006297F,['15006297F1'],01/01/2021,07/07/2021
45,15006299A,['15006299A1'],01/01/2021,18/06/2021
46,1500635BPECKEP,['1500635BPECKEC'],01/01/2021,12/11/2021
47,1500635BV104P,['1500635BV104C'],01/01/2021,12/11/2021
48,1500635BV112SP,['1500635BV112C'],01/01/2021,03/06/2021
49,1500635BV141P,['1500635BV141C'],01/01/2021,03/06/2021
50,1500635BV142P,['1500635BV142C'],01/01/2021,03/06/2021
51,1500635BV143P,['1500635BV143C'],01/01/2021,15/07/2021
52,1500635DUDANP,['1500635DUDANC'],01/01/2021,03/06/2021
53,1500635DUDASP,"['1500635DUDASC', '1500635DUDASW']",26/10/2021,31/12/2021
54,1500635FDLT35P,['1500635FDLT35C'],01/01/2021,03/06/2021
55,1500635FDLT75WP,['1500635FDLT75WW'],01/01/2021,31/12/2021
56,1500635GRIMCP,['1500635GRIMCC'],01/01/2021,26/07/2021
57,1500635HAM35P,['1500635HAM35C'],22/02/2021,31/12/2021
58,1500635HAMEP,['1500635HAMEC'],01/01/2021,12/11/2021
59,1500635JOHNNYP,['1500635JOHNNYC'],01/01/2021,03/06/2021
60,1500635MTWP,['1500635MTWC'],01/01/2021,12/11/2021
61,1500635NLINP,['1500635NLINC'],22/02/2021,31/12/2021
62,1500635PEACH55P,['1500635PEACH55C'],01/01/2021,03/06/2021
63,1500635PECK1P,['1500635PECK1C'],26/10/2021,31/12/2021
64,1500635PECK2P,['1500635PECK2C'],01/01/2021,26/07/2021
65,1500635PECK4P,['1500635PECK4C'],01/01/2021,03/06/2021
66,1500635RIDIANEP,['1500635RIDIANEC'],01/01/2021,19/07/2021
67,1500635RIDIANWP,"['1500635RIDIANWC', '1500635RIDIANWG']",22/02/2021,22/09/2021
68,1500635SAND1P,['1500635SAND1C'],22/02/2021,31/12/2021
69,1500635SAND2P,['1500635SAND2C'],22/02/2021,31/12/2021
70,1500635SAND3P,['1500635SAND3C'],01/01/2021,15/07/2021
71,1500635SAND4P,['1500635SAND4C'],01/01/2021,15/07/2021
72,1500635SAND5P,['1500635SAND5C'],01/01/2021,15/07/2021
73,1500635SAND6P,['1500635SAND6C'],01/01/2021,15/07/2021
74,1500635SANDW1P,['1500635SANDW1C'],22/02/2021,31/12/2021
75,1500635SANDW2P,"['1500635SANDW3P', '1500635SANDW2CC']",22/02/2021,31/12/2021
76,1500635SANDW3P,"['1500635SANDW2CC', '1500635SANDW2P']",01/01/2021,20/11/2020
77,1500635SANDW3PP,"['1500635SANDW2C', '1500635SANDHSEC']",01/01/2021,19/07/2021
78,1500635SANDW5P,['1500635SANDSTRC'],01/01/2021,19/07/2021
79,1500635SCANALW,['1500635SCANALC'],01/01/2021,26/07/2021
80,1500635SHOPSP,['1500635SHOPSC'],22/02/2021,31/12/2021
81,1500635SLINP,['1500635SLINC'],01/01/2021,25/06/2021
82,1500635SMIDDLEP,['1500635SMIDDLEC'],01/01/2021,03/06/2021
83,1500635WERN115p,['1500635WERN115C'],01/01/2021,03/06/2021
84,1500635WERN2P,['1500635WERN2C'],01/01/2021,03/06/2021
85,1500635WERN3P,['1500635WERN3C'],01/01/2021,26/07/2021
86,1500915121P,['1500915121'],01/01/2021,17/06/2021
87,1500915122P,"['1500915122T', '1500915122C', '1500915122']",30/11/2021,31/12/2021
88,1500915123WP,['1500915123W'],01/01/2021,17/06/2021
89,1501361071622PO,['1501361071621ON'],09/09/2021,31/12/2021
90,1501361071721PO,['1501361071721BA'],01/01/2021,12/11/2021
91,15022770121SP,['15022770121FC'],01/01/2021,20/07/2021
92,15022770221SP,['15022770221FC'],01/01/2021,20/07/2021
93,15022770520FP,"['15022770521FC', '15022770522SP']",01/01/2021,09/03/2021
94,15022770522SP,"['15022770520FP', '15022770521FC']",09/12/2021,31/12/2021
95,15022770621SP,['15022770622SC'],01/01/2021,08/11/2021
96,15022770721SP,['15022770722SC'],01/01/2021,08/11/2021
97,15022770822SP,"['15022770820FC', '15022770821FC']",07/12/2021,31/12/2021
98,15022770922SP,['15022770921SC'],08/11/2021,31/12/2021
99,15022773820FP,['15022773821FC'],01/01/2021,09/03/2021
100,15022774620FP,['15022774621FC'],01/01/2021,09/03/2021
101,15022774721FP,['15022774722SC'],01/01/2021,09/12/2021
102,15022776021FP,['15022776020FC'],09/03/2021,31/12/2021
103,15022776320FP,['15022776321FC'],01/01/2021,09/03/2021
104,15022776622SP,['15022776521SC'],09/12/2021,31/12/2021
105,15022776821FP,['15022776820FC'],09/03/2021,31/12/2021
106,1502300305PO,['1502300305CA'],08/10/2021,31/12/2021
107,1502300306PO,"['1502300306GA', '1502300306FCA', '1502300306FCA1']",07/07/2021,08/10/2021
108,1502300312EPO,"['1502300312ECA', '1502300312EGA']",04/10/2021,02/11/2021
109,1502300312WPO,['1502300312WGA'],02/11/2021,31/12/2021
110,1502878BARK2A,['1502878BARK2'],04/08/2021,31/12/2021
111,1502878HUNTER1A,['1502878HHUNTER1'],04/08/2021,31/12/2021
112,1504213P2,"['1504213P2CAR', '1505059PALA2FP']",01/01/2021,29/12/2020
113,1504213P3,"['1504213P3W', '1505059PALA3FP']",01/01/2021,25/02/2021
114,1504213P4,"['1504213P4W', '1505059PALA4FP']",01/01/2021,25/02/2021
115,1504311200PO,['1504311200GA'],04/10/2021,31/12/2021
116,1504311203PO,['1504311203FCA'],01/01/2021,07/07/2021
117,1504311205PO,['1504311205FCA'],01/01/2021,07/07/2021
118,1504311207PO,['1504311207FCA'],01/01/2021,01/07/2021
119,1504311208WPO,"['1504311206WCA', '1504311206WCA1']",04/10/2021,07/10/2021
120,1504311208WPO1,['1504311208WCA'],07/10/2021,31/12/2021
121,1504311210PO,['1504311210CA'],04/10/2021,31/12/2021
122,1504311212PO,"['1504311212FCA', '1504311212EFCA']",01/01/2021,01/07/2021
123,15045481H,['15045481CH'],01/01/2021,19/07/2021
124,15045481P,['15055121C'],01/01/2021,09/06/2021
125,1504548F21,['1504548SUNC1W'],01/01/2021,15/06/2021
126,1504548PM1,['1504548MCE1'],01/01/2021,15/06/2021
127,1504548PM3,['15045484C'],15/06/2021,31/12/2021
128,1504548PPF,"['1504548CE1', '1504548CREED']",19/08/2021,31/12/2021
129,15046771KPP22,['15046771CS21'],17/11/2021,31/12/2021
130,15050597STD1FP,['15050597SE'],17/07/2021,31/12/2021
131,15050597SWSP,['15050597THFC'],01/01/2021,22/11/2021
132,1505059AGR7FP,"['1505759AGRO7', '1505059AGRO7FC']",23/08/2021,31/12/2021
133,1505059AGRO1SP,['1505059AGR1FC'],01/01/2021,27/07/2021
134,1505059AGRO2FP,['1505059AGRO2CS'],01/01/2021,02/12/2021
135,1505059AGRO3PS,['1505059AGRO3'],02/12/2021,31/12/2021
136,1505059AGRO4SP,['1505059AGR4FC'],01/01/2021,27/07/2021
137,1505059AGRO5SP,['1505059AGRO5FC'],01/01/2021,07/06/2021
138,1505059AGRO6SP,['1505059AGRO6FC'],01/01/2021,07/06/2021
139,1505059BOCKSP,"['1505059BOCKFC', '1505059BOCKFC1']",28/01/2021,01/07/2021
140,1505059BRIMHLSP,"['1505059BRIMFC', '1505059BRIMHFC']",10/03/2021,27/07/2021
141,1505059CATANSSP,"['1505059CATANISC', '1505059CATASSP', '1505059CATANSFC']",01/01/2021,28/01/2021
142,1505059CATASSP,"['1505059CATANSSP', '1505059CATANISC', '1505059CATANSFC']",10/03/2021,07/06/2021
143,1505059CATNFP,"['1505059CATN', '1505059CATANSC']",23/08/2021,31/12/2021
144,1505059COLINFP,"['1505059COLLIN', '1505059COLINESP']",23/08/2021,31/12/2021
145,1505059COTWODPS,['1505059COTWODSP'],02/12/2021,31/12/2021
146,1505059COTWODSP,['1505059COTWODPS'],01/01/2021,02/12/2021
147,1505059COULTRSP,['1505059COULTFC'],28/01/2021,31/12/2021
148,1505059DELISSP,['1505059DELISFC'],01/01/2021,07/06/2021
149,1505059ENGLEFP,['1505059ENGLE'],17/07/2021,31/12/2021
150,1505059F50SP,['1505059F50FC'],01/01/2021,07/06/2021
151,1505059FOPPFP,['1505059FOPPBC'],01/01/2021,21/12/2021
152,1505059FUG12FP,"['1505059FUG12WG', '1505059FUGT12']",17/07/2021,23/08/2021
153,1505059FUG13FP,"['1505059FUG13WG', '1505059FUGT13']",17/07/2021,23/08/2021
154,1505059FUG14PS,"['1505059FUG14SP', '1505059FUG14FC']",02/12/2021,31/12/2021
155,1505059FUG14SP,"['1505059FUG14FC', '1505059FUG14PS']",01/01/2021,07/06/2021
156,1505059FUG1FP,['1505059FUG1WG'],17/07/2021,31/12/2021
157,1505059FUG2FP,['1505059FUGIT3SC'],17/07/2021,31/12/2021
158,1505059FUG3FP,['1505059FUG2SC'],17/07/2021,31/12/2021
159,1505059FUG8SP,"['1505059FUGIT8SP', '1505059FUG8WG']",01/01/2021,28/01/2021
160,1505059FUGIT6SP,"['1505059FUG6FC', '1505059FUG6WG']",28/01/2021,04/11/2021
161,1505059FUGIT7SP,['1505059FUG7FC'],28/01/2021,31/12/2021
162,1505059FUGIT8SP,"['1505059FUG8SP', '1505059FUG8WG']",28/01/2021,04/11/2021
163,1505059FUGIT9SP,"['1505059FUG9FC', '1505059FUG9WG']",28/01/2021,04/11/2021
164,1505059FUGT10SP,"['1505059FUG10FC', '1505059FUG10WG']",28/01/2021,04/11/2021
165,1505059FUGT11SP,"['1505059FUG11FC', '1505059FUG11WG']",28/01/2021,04/11/2021
166,1505059FUGT12,"['1505059FUG12WG', '1505059FUG12FP']",23/08/2021,31/12/2021
167,1505059FUGT13,"['1505059FUG13WG', '1505059FUG13FP']",23/08/2021,31/12/2021
168,1505059GILLE,['1505059GILLEFC'],01/01/2021,07/06/2021
169,1505059GILLW,['1505059GILLWFC'],01/01/2021,07/06/2021
170,1505059GINSP,['1505059GIN'],10/03/2021,31/12/2021
171,1505059HEATHFP,['1505059HEATH'],17/07/2021,31/12/2021
172,1505059HERNDFP,['1505059HERNDON'],17/07/2021,31/12/2021
173,1505059HOUGHTE,['1505059HOUGHEFC'],01/01/2021,27/07/2021
174,1505059HOUGHTW,['1505059HOUGHWFC'],01/01/2021,27/07/2021
175,1505059IZNFP,['1505059IZQNSC'],17/07/2021,31/12/2021
176,1505059IZSFP,['1505059IZQS'],17/07/2021,31/12/2021
177,1505059JAMESP,['1505059JAMESPS'],01/01/2021,02/12/2021
178,1505059JAMESPS,['1505059JAMESP'],02/12/2021,31/12/2021
179,1505059JENSEN,['1505059JENSENFC'],01/01/2021,07/06/2021
180,1505059KIMSP,['1505059KIMFC'],01/01/2021,07/06/2021
181,1505059LEN3SP,['1505059LENAR3FC'],01/01/2021,07/06/2021
182,1505059LENAR4FP,['1505059LEN4'],17/07/2021,31/12/2021
183,1505059MR12PS,"['1505059MRCH12FC', '1505059MR12SW']",02/12/2021,31/12/2021
184,1505059MR345PS,"['1505059MR45SW', '1505059MR345SW']",02/12/2021,31/12/2021
185,1505059MTVWFP,['1505059MTVIEWSC'],17/07/2021,31/12/2021
186,1505059PALA2FP,"['1504213P2', '1504213P2CAR']",17/07/2021,31/12/2021
187,1505059PALA3FP,"['1504213P3', '1504213P3W']",17/07/2021,31/12/2021
188,1505059PALA4FP,"['1504213P4', '1504213P4W']",17/07/2021,31/12/2021
189,1505059PALLA5SP,['1504213P5'],10/03/2021,31/12/2021
190,1505059PALLA6SP,['1504213P6'],10/03/2021,31/12/2021
191,1505059PALLAFP,"['1505059PALLA', '1505059PALLACS']",17/07/2021,02/12/2021
192,1505059PANAMASP,['1505059PANAMAFC'],01/01/2021,07/06/2021
193,1505059PET4SP,"['1505059PET4FC', '1505059PET4WG']",28/01/2021,04/11/2021
194,1505059PET5SP,"['1505059PET5FC', '1505059PET5WG']",28/01/2021,04/11/2021
195,1505059PETR2FP,['1505059PET2WG'],23/08/2021,31/12/2021
196,1505059PETR3FP,['1505059PET3WG'],23/08/2021,31/12/2021
197,1505059PETSSP,"['1505059PETSSWG', '1505059PETSSWG1']",01/01/2021,23/08/2021
198,1505059RICHRDSP,['1505059RICHRDFC'],28/01/2021,31/12/2021
199,1505059RUDDFP,"['15043101', '1505059RUDD']",17/07/2021,31/12/2021
200,1505059SACCOSP,['1505059SACCOFC'],28/01/2021,31/12/2021
201,1505059SANTFNSP,['1505059SANTFNFC'],28/01/2021,31/12/2021
202,1505059SANTFSSP,['1505059SANTFSFC'],28/01/2021,31/12/2021
203,1505059SVS120FP,['1505059SVS120SC'],17/07/2021,31/12/2021
204,1505059SVS80SP,['1505059SVS80FC'],01/01/2021,07/06/2021
205,1505059URFRIGSP,"['1505059URFRIGFC', '1505059URFRIFC']",28/01/2021,01/07/2021
206,1505059WID12ASP,['1505059WID12AFC'],28/01/2021,31/12/2021
207,1505059WID1ASP,['1505059WID1AFC'],28/01/2021,31/12/2021
208,1505059WID1BSP,"['1505059WID1BFC', '1505059WIG1BFC']",28/01/2021,23/08/2021
209,1505059WID1DSP,"['1505059WID1DFC', '1505059WIG1DFC']",28/01/2021,23/08/2021
210,1505059WID1ESP,"['1505059WID1EFC', '1505059WIG1EFC']",28/01/2021,23/08/2021
211,1505059WILSONSP,['1500635WN80C'],10/03/2021,31/12/2021
212,1505059ZERK2FP,['1505059ZERK2WG'],17/07/2021,31/12/2021
213,1505059ZERK3FP,['1505059ZERK3WG'],17/07/2021,31/12/2021
214,1505059ZERK4FP,"['1500015STANDTM1', '1505059ZERK4', '1505059ZERK4ST']",17/07/2021,31/12/2021
215,1505124A20,"['1505124A20A', '1505124A24']",01/01/2021,04/02/2021
216,1505124D17A,['1505124D15B'],09/07/2021,31/12/2021
217,1505124D17B,['1505124D15C'],09/07/2021,31/12/2021
218,1505124ED23,['1505124ED24'],01/01/2021,25/06/2021
219,1505124ED23A,['1505124ED24A'],01/01/2021,09/07/2021
220,1505124ED23B,['1505124ED24B'],01/01/2021,09/07/2021
221,1505124S17,"['1505124S17A', '1505124S20']",01/01/2021,04/02/2021
222,1505124S17A,"['1505124S17', '1505124S20']",04/02/2021,09/07/2021
223,150553216H,['150553216H1'],01/01/2021,27/07/2021
224,150553219B,['150553219BN1'],27/07/2021,31/12/2021
225,150553219E3ORG1,"['150553219E3ORG', '150553219E3ORG2', '150553219E3ORG3']",20/08/2021,20/08/2021
226,150553219GE,['150553219G'],20/08/2021,31/12/2021
227,150553220C1,['150553220C'],27/07/2021,31/12/2021
228,150553220F1,['150553220F'],01/01/2021,28/07/2021
229,150553220G1,['150553220G'],01/01/2021,28/07/2021
230,150553221A1,['150553221A'],27/07/2021,31/12/2021
231,150553221C1,['150553221C'],27/07/2021,31/12/2021
232,150553221E1A,['1.51E+09'],01/01/2021,27/07/2021
233,150553221E2A,['1.51E+10'],01/01/2021,27/07/2021
234,150553221G,['150553221G1'],01/01/2021,28/07/2021
235,150553228B,['150553228B1'],27/07/2021,31/12/2021
236,150553228B2,['150553229LW'],27/07/2021,31/12/2021
237,150553229A1,['150553229A'],27/07/2021,31/12/2021
238,150553229B1,['150553229B'],01/01/2021,27/07/2021
239,150553229G,['150553229G1'],27/07/2021,31/12/2021
240,150553229H1,['150553229H'],01/01/2021,27/07/2021
241,150553230C,['150553230C2'],27/07/2021,31/12/2021
242,150553230D1,['150553230D'],01/01/2021,27/07/2021
243,150553230E,['1.51E+09'],27/07/2021,31/12/2021
244,150553230F1,['150553230F'],01/01/2021,27/07/2021
245,150553232C1,['150553232C'],27/07/2021,31/12/2021
246,150553232D1,['150553232D'],01/01/2021,28/07/2021
247,1505532NMCE1,['1505532NMCE'],01/01/2021,28/07/2021
248,1505532NMCW1,['1505532NMCW'],01/01/2021,28/07/2021
249,1505532NMD1,['1505532NMD'],01/01/2021,28/07/2021
250,1505532NMMNORG,['1505532NMMNORG1'],27/07/2021,31/12/2021
251,1505532NMMSORG1,['1505532NMMSORG'],01/01/2021,28/07/2021
252,1505532SMB1,['1505532SMB'],01/01/2021,28/07/2021
253,1505532SMC1,['1505532SMC'],27/07/2021,31/12/2021
254,1505532SMD,['1505532SMD1'],27/07/2021,31/12/2021
255,1505532SMI,['1505532SMI1'],27/07/2021,31/12/2021
256,150559121GN02GA,['150559121GN02FA'],01/01/2021,23/04/2021
