PMT_SITE,date,Active ingredient,iso_year
150001535SP,2020-04-15,['Diquat'],2020
1500015BERRY1SP,2020-05-01,['Diquat'],2020
1500015BERRY2SP,2020-05-01,['Diquat'],2020
1500015HILLFP1,2020-12-07,['Diquat'],2020
1500015SKONSP,2020-04-15,['Diquat'],2020
1500635APPLEP,2020-05-09,['Pyraflufen-ethyl'],2020
1500635BPECKWP,2020-06-14,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635BV114P,2020-05-16,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635BV142P,2020-05-16,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635BV144P,2020-05-08,"['Lambda-cyhalothrin', 'Glufosinate', 'Pyraflufen-ethyl']",2020
1500635DUDANP,2020-06-22,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635DUDASP,2020-05-04,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635NCANALP,2020-05-09,['Pyraflufen-ethyl'],2020
1500635PECK2P,2020-04-27,['Pyraflufen-ethyl'],2020
1500635SAND1P,2020-05-26,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635SAND3P,2020-05-26,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500635SAND4P,2020-06-01,"['Lambda-cyhalothrin', 'Pyraflufen-ethyl']",2020
1500915123E,2020-04-24,"['Diquat', 'Pyraflufen-ethyl']",2020
1500915124E,2020-04-24,"['Diquat', 'Pyraflufen-ethyl']",2020
15022770320SC,2020-06-04,"['Fluopyram', 'Diquat']",2020
15022770920SP,2020-06-09,['Diquat'],2020
1504213P3P,2020-11-24,['Diquat'],2020
150449844AC,2020-04-20,['Pyraflufen-ethyl'],2020
15045481P,2020-11-27,"['Diquat', 'Pyraflufen-ethyl']",2020
1504548PM1,2020-11-27,"['Diquat', 'Pyraflufen-ethyl']",2020
1505059AGRO1SP,2020-04-15,['Diquat'],2020
1505059AGRO3SP,2020-04-16,['Diquat'],2020
1505059AGRO4SP,2020-04-28,['Diquat'],2020
1505059BRIMSP,2020-04-27,['Diquat'],2020
1505059CATANSSP,2020-05-16,['Diquat'],2020
1505059CATNFP,2020-10-22,['Diquat'],2020
1505059CHARLSP,2020-04-29,['Diquat'],2020
1505059COULTSP,2020-05-15,['Diquat'],2020
1505059F50SP,2020-05-11,['Diquat'],2020
1505059FOPPFP,2020-10-22,['Diquat'],2020
1505059FUG10SP,2020-05-15,['Diquat'],2020
1505059FUG10SP,2020-05-20,['Diquat'],2020
1505059FUG10SP,2020-06-01,['Diquat'],2020
1505059FUG11SP,2020-05-15,['Diquat'],2020
1505059FUG12SP,2020-05-20,['Diquat'],2020
1505059FUG13SP,2020-05-20,['Diquat'],2020
1505059FUG14SP,2020-05-18,['Diquat'],2020
1505059FUG1SP,2020-05-13,['Diquat'],2020
1505059FUG2FP,2020-10-19,['Diquat'],2020
1505059FUG6SP,2020-05-26,['Diquat'],2020
1505059FUG6SP,2020-06-01,['Diquat'],2020
1505059FUG7SP,2020-05-26,['Diquat'],2020
1505059FUG7SP,2020-06-01,['Diquat'],2020
1505059FUG8SP,2020-05-14,['Diquat'],2020
1505059FUG9SP,2020-05-15,['Diquat'],2020
1505059FUGIT3FP,2020-11-02,['Diquat'],2020
1505059IZQNFP,2020-10-23,['Diquat'],2020
1505059IZQSFP,2020-11-03,['Diquat'],2020
1505059JAMESP,2020-05-06,['Diquat'],2020
1505059MRCH12SP,2020-04-29,['Diquat'],2020
1505059PALLA4FP,2020-10-22,['Diquat'],2020
1505059PALLAFP,2020-10-21,['Diquat'],2020
1505059PET2SP,2020-06-01,['Diquat'],2020
1505059RICHRDSP,2020-05-04,['Diquat'],2020
1505059RICHRDSP,2020-05-09,['Diquat'],2020
1505059SANTFNSP,2020-04-17,['Diquat'],2020
1505059SANTFSSP,2020-04-17,['Diquat'],2020
1505059TOMMYNSP,2020-05-13,['Diquat'],2020
1505059URFRIGSP,2020-05-04,['Diquat'],2020
1505059WID12ASP,2020-04-29,['Diquat'],2020
1505059WID1ASP,2020-04-29,['Diquat'],2020
150553221F,2020-06-12,['Diquat'],2020
150553230A,2020-05-17,['Diquat'],2020
150001535SP,2021-04-21,['Diquat'],2021
1500015BERRY1SP,2021-04-21,['Diquat'],2021
1500015BERRY2SP,2021-04-21,['Diquat'],2021
1500015PECK1SP,2021-06-10,['Diquat'],2021
1500015PECK2SP,2021-06-10,['Diquat'],2021
1500015SEC1B2SP,2021-05-08,['Diquat'],2021
1500015SEC1B3SP,2021-05-08,['Diquat'],2021
1500555332,2021-06-25,['Diquat'],2021
1500635BV112SP,2021-05-24,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635BV142P,2021-05-24,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635NCANALP,2021-05-07,['Pyraflufen-ethyl'],2021
1500635PECK3P,2021-04-21,['Pyraflufen-ethyl'],2021
1500635PECK4P,2021-04-21,['Pyraflufen-ethyl'],2021
1500635SAND3P,2021-06-10,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635SAND4P,2021-06-10,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635SAND6P,2021-06-10,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635SANDW3PP,2021-06-16,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500635SLINP,2021-05-06,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2021
1500915123WP,2021-05-07,"['Pyraflufen-ethyl', 'Diquat']",2021
15022770121SP,2021-05-06,"['NA', 'Fluopyram', 'Diquat']",2021
15022770221SP,2021-05-05,"['Fluopyram', 'Diquat']",2021
15022772821SP,2021-06-05,"['NA', 'Diquat']",2021
1504548PPF,2021-12-02,['Diquat'],2021
1505059BOCKSP,2021-05-19,['Diquat'],2021
1505059COULTRSP,2021-05-01,['Diquat'],2021
1505059DELISSP,2021-05-03,['Diquat'],2021
1505059FUG14SP,2021-05-07,['Diquat'],2021
1505059FUGIT6SP,2021-05-14,['Diquat'],2021
1505059FUGIT7SP,2021-05-14,['Diquat'],2021
1505059FUGIT8SP,2021-05-07,['Diquat'],2021
1505059FUGIT9SP,2021-05-01,['Diquat'],2021
1505059SANTFNSP,2021-06-04,['Diquat'],2021
1505059URFRIGSP,2021-05-03,['Diquat'],2021
1505059WID12ASP,2021-05-26,['Diquat'],2021
1505059WID1ASP,2021-05-26,['Diquat'],2021
1500015BERRY1SP,2022-04-27,['Diquat'],2022
1500015BERRY2SP,2022-04-27,['Diquat'],2022
1500015SC10B3SP,2022-05-19,['Diquat'],2022
1500015SC10B4SP,2022-05-20,['Diquat'],2022
1500555331SP,2022-06-07,['Diquat'],2022
1505059AGRO5NPS,2022-05-05,['Diquat'],2022
1505059BOCKPS,2022-05-07,['Diquat'],2022
1505059DELISPS,2022-05-05,['Diquat'],2022
1505059FG13FP22,2022-11-10,['Diquat'],2022
1505059KIMPS,2022-05-19,['Diquat'],2022
1505059MR12PS,2022-04-22,['Diquat'],2022
1505059PALAFP22,2022-10-20,['Diquat'],2022
1505059SYCMRESP,2022-05-18,['Diquat'],2022
1505059URFRIFC,2022-05-26,['Diquat'],2022
150553219B,2022-06-20,['Diquat'],2022
150553229G,2022-05-24,['Diquat'],2022
1505861APPLEP,2022-05-06,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861BIANE1P,2022-05-31,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861BIANE2P,2022-05-31,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861DUDASP,2022-06-25,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861FDLTEP,2022-04-23,['Pyraflufen-ethyl'],2022
1505861HAMWEP,2022-05-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861NCANALP,2022-05-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861PECK1P,2022-04-30,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861SAND1P,2022-06-09,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861SAND2P,2022-06-09,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861SHOPNP,2022-05-06,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
1505861SHOPSP,2022-04-23,['Pyraflufen-ethyl'],2022
1505861WERN1P,2022-05-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2022
150001535SP,2023-05-03,['Diquat'],2023
1500015SCONESP,2023-05-03,['Diquat'],2023
1500015SEC1B2SP,2023-05-10,['Diquat'],2023
150001923P203FA,2023-11-17,['Diquat'],2023
1500555322,2023-06-22,"['Diquat', 'Pyraflufen-ethyl']",2023
15022771823SP,2023-06-20,['Diquat'],2023
15022774723FP,2023-12-06,['Diquat'],2023
15022776523FP,2023-12-08,['Diquat'],2023
1505059CHRWP23,2023-06-12,['Diquat'],2023
1505059CTW2SP23,2023-05-30,['Diquat'],2023
1505059MR12SP23,2023-05-08,['Diquat'],2023
1505059PETSSP23,2023-05-10,['Diquat'],2023
1505124D21A,2023-06-27,['Diquat'],2023
1505124D21B,2023-06-27,['Diquat'],2023
150553220B,2023-06-22,['Diquat'],2023
150553220I,2023-06-16,['Diquat'],2023
1505861BIANENWP,2023-06-06,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861BIANESEP,2023-06-06,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861BV114P,2023-05-22,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861DUDANP,2023-06-30,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861DUDASP,2023-06-30,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861SAND6PO,2023-06-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861SAND7P,2023-06-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861SAND8P,2023-06-13,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
1505861WERN115P,2023-05-22,"['Pyraflufen-ethyl', 'Lambda-cyhalothrin']",2023
